Pitcher,TaggedPitchType,RelSpeed,InducedVertBreak,HorzBreak,RelHeight,RelSide,Extension,SpinAxis,SpinRate,VertApprAngle,HorzApprAngle,PitcherThrows,BatterSide
"Allsup, Chase",ChangeUp,88.37018015873016,11.624422063492062,12.210733015873014,6.029096666666667,1.2304260317460318,5.584683015873016,228.38659006349206,1561.0688766666667,-6.94902846,-0.381870032,Right,Right
"Allsup, Chase",Curveball,77.85709958333334,-11.73810542,-8.618270417,6.300762083333333,1.0737870833333332,4.955826458333333,32.991288104166664,2366.3421594583333,-10.26788713,-2.014183479,Right,Right
"Allsup, Chase",Fastball,94.61387287878789,20.060424015151515,9.735247045454544,6.430845909090909,0.918862803,5.447031287878788,207.1273073181818,2245.377785167939,-5.17076475,-0.201487515,Right,Right
"Allsup, Chase",FourSeamFastBall,94.82185511111112,19.68484177777778,9.496245185185185,6.389262222222222,1.0112525925925926,5.454460814814815,207.05776146666668,2259.7609546222225,-5.140797659,-0.398669341,Right,Right
"Allsup, Chase",Sinker,92.06898,18.07733,10.2906,6.48468,0.94956,5.52518,211.293272,2168.088457,-5.409329,-0.793887,Right,Right
"Allsup, Chase",Slider,84.22523248175183,0.4636602189781022,-3.814543358,6.053014160583941,1.2430136496350364,5.500033138686131,82.24559608029196,2167.2691674411763,-8.019619365,-2.077396489,Right,Right
"Armstrong, John",ChangeUp,80.28767875,2.18125,19.810270416666665,4.83529375,1.9694254166666667,5.816142916666667,268.04524183333336,2067.3006227083333,-7.1652205,0.089804167,Right,Right
"Armstrong, John",Fastball,91.46317404255319,12.019848085106384,18.148488936170214,4.965710851,1.9615251063829788,5.8189889361702125,238.72918393617022,1999.7353405957447,-4.51672666,-0.386833426,Right,Right
"Armstrong, John",FourSeamFastBall,91.45761813,12.34406375,16.6968075,5.043095625,2.030003125,5.86151625,235.7262165,2061.982896,-4.769814188,-0.236114938,Right,Right
"Armstrong, John",Sinker,89.68660152173914,-0.037182391,19.01483489130435,4.4640985869565215,1.9350708695652175,5.580589782608696,273.60303595652175,1866.632467652174,-5.912528293,-0.242271054,Right,Right
"Armstrong, John",Slider,76.69799235294117,2.711324117647059,-17.71413647,4.418516078431373,2.3495974509803923,5.218164117647059,93.48421621568627,2367.718786431373,-6.805471431,-4.130067196,Right,Right
"Armstrong, John",TwoSeamFastBall,90.63984,2.12599,18.29702,4.42001,1.94723,5.52993,266.932021,1893.953142,-5.000157,0.352241,Right,Right
"Bauman, Tanner",ChangeUp,83.63583725490196,1.8478596078431373,-18.9286898,5.788281176470588,-2.168404314,5.831595686,91.64106019607843,1743.0232554313727,-8.000917294,-0.183918059,Left,Right
"Bauman, Tanner",Sinker,91.21875441441442,7.341413693693694,-18.89095622,6.178081171171171,-2.063545586,5.669027747747747,107.99607232432433,1975.0396990270272,-6.202576063,0.28259433333333334,Left,Right
"Bauman, Tanner",Slider,80.34341877,-1.752586321,7.249174716981132,5.808327264150943,-2.32328934,5.068454622641509,293.66769696226413,2626.088787669811,-8.172198274,3.4162055943396226,Left,Right
"Booton, Trevor",ChangeUp,84.38699315789474,5.388953157894736,14.872183684210526,6.24782,1.4649442105263157,5.578616842105263,254.8121054736842,1500.8222395789473,-8.896360053,0.5665124736842104,Right,Right
"Booton, Trevor",Cutter,86.33133213114755,6.8392626229508195,0.25966229508196725,6.330331147540983,1.405579344262295,5.723852623,180.81495929508196,2065.4345951639343,-7.701422,-1.260659443,Right,Right
